N. riga,Codice Prodotto,Conformità alle norme RoHS?,Note,Q.tà,Codice produttore,Produttore / Descrizione,Disponilità,Prezzo unitario,Prezzo prodotto,Prezzo scontato
1,1759455,YES,,20.0,"MC1206F105Z500CT","Gamma Prodotti:Serie MC; Capacità:1µF; Tolleranza Capacità:+80%, -20%; Caratteristica Dielettrico:Y5V; Tensione Nominale:50V; Case Condensatore Ceramico:1206 [3216 Metrico]; Tempe",20391,0.0666,1.33,,
2,9695389,YES,,15.0,"ECHU1H103JX5","Gamma Prodotti:Serie ECHU(X); Capacità:0.01µF; Tolleranza Capacità:± 5%; Applicazione Condensatore:PPS (Polifenilensolfuro); Tensione Nominale:50V; Modello Case Condensatore:1206",1436,0.3300,4.95,,
3,1754082,YES,,15.0,"TR3A225K016C4000","Gamma Prodotti:Serie TR3; Capacità:2.2µF; Tolleranza Capacità:± 10%; Tensione Nominale:16V; Case Condensatore al Tantalio:1206 [3216 Metrico]; Codice dimensioni produttore:A; Tempe",1273,0.2000,3.00,,
4,2443125,YES,,12.0,"USB3100-30-A","Tipo Connettore USB:Micro USB Tipo B; USB Standard:USB 2.0; Genere:Presa; No. di Posizioni:5; Montaggio Connettore:Montaggio Superficiale; Orientamento:Angolo Retto; Materiale Contatto:",243,1.0400,12.48,,
5,1022247,YES,,30.0,"M20-9990246.","Gamma Prodotti:M20 Series; Distanza di Passo:2.54mm; No. di Righe:1; No. di Contatti:2; Genere:Header; Tipo Terminazione Contatto:Foro Passante; Rivestimento Contatto:Stagno; Materia",44678,0.0649,1.95,,
6,1022255,YES,,20.0,"M20-9990646","Gamma Prodotti:M20 Series; Distanza di Passo:2.54mm; No. di Righe:1; No. di Contatti:6; Genere:Header; Tipo Terminazione Contatto:Foro Passante; Rivestimento Contatto:Stagno; Mater",11633,0.1650,3.30,,
7,2381173,YES,,12.0,"22-28-4050","Gamma Prodotti:Serie KK 42375; Distanza di Passo:2.54mm; No. di Righe:1; No. di Contatti:5; Genere:Header; Tipo Terminazione Contatto:Foro Passante; Rivestimento Contatto:Stagno; Ma",8170,0.1600,1.92,,
8,2447587,YES,,20.0,"MCWR08X1001FTL","Gamma Prodotti:Serie MCWR; Resistenza:1kohm; Livello di Potenza:125mW; Tolleranza Resistenza:± 1%; Tensione Nominale:150V; Modello Case Resistore:0805 [2012 Metrico]; Imballaggio:N",136283,0.0025,0.05,,
9,9335943,Y-EX,,20.0,"MC0125W12061150R","Gamma Prodotti:Serie MC; Resistenza:150ohm; Livello di Potenza:125mW; Tolleranza Resistenza:± 1%; Tensione Nominale:200V; Modello Case Resistore:1206 [3216 Metrico]; Imballaggio:Nastro",2333,0.0095,0.19,,
10,1023035,YES,,12.0,"D01-9973242","Gamma Prodotti:D01 Series; Distanza di Passo:2.54mm; No. di Righe:1; No. di Contatti:32; Genere:Presa; Tipo Terminazione Contatto:Foro Passante; Rivestimento Contatto:Oro; Materiale Cont",1599,1.5400,18.48,,
11,1749270,YES,,15.0,"ESDA6V1-5SC6","Dissipazione di Potenza Pd:100W; Tensione di Bloccaggio Vc Max:-; Tensione di Funzionamento:6.1V; Modello Involucro Diodo:SOT-23; No. di Pin:6; Imballaggio:Nastro Tagliato; Sostanze Es",671,0.2760,4.14,,
12,1053660,YES,,15.0,"LP2985A-33DBVTE4","Tensione di Ingresso Min:2.2V; Tensione di Ingresso Max:16V; Tensione di Uscita Nom.:3.3V; Corrente di Uscita:150mA; Tensione Dropout Vdo:280mV; Modello Case Regolatore LDO:SOT-23; No",5779,1.0800,16.20,,
13,2075440,YES,,12.0,"TMP275AID","Tipo Uscita CI:Digitale; Intervallo di Accuratezza Rilevamento:± 0,5°C; Temperatura di Rilevamento Min:-40°C; Temperatura di Rilevamento Max:+125°C; Tensione di Alimentazione Min:2.7V; Tens",485,1.5400,18.48,,
14,1716767,YES,,15.0,"OVS-0806","Colore LED:Giallo; Dimensione Lampadina:1,25mm x 1,4mm; Lunghezza d'Onda Tipica:589nm; Tensione Diretta:2.1V; Corrente Diretta If:20mA; Intensità Luminosa:400mcd; Montaggio LED:SMD; Forma lent",48573,0.3210,4.82,,

,,,,,,,Subtotale,91.28
,,,,,,,Totale merci,91.28
,,,,,,,Spedizione  base,0.00
,,,,,,,IVA,Unknown
,,,,,,,Totale,91.28
