"Id";"Riferimento";"Impronta";"Quantità";"Valore";"Produttore";
1;"R9,R15,R11";"0603";3;"22R";;;
2;"C2";"0603";1;"33pF";;;
3;"C19,C10,C11,C13,C3,C7,C15,C6,C22,C12";"0603";10;"100nF";;;
4;"R18,R4,R17,R10";"0603";4;"47K";;;
5;"R14,R7";"0603";2;"2K2";;;
6;"FIL1";"0603";1;"BLM18PG300SN1D";;;
7;"C4,C5,C8,L2,L3,C9";"0603";6;"NM";;;
8;"R12";"0603";1;"47R";;;
9;"J1";"SIM CARD MICRO";1;"SIM7100-6-1-15-00-A";;;
10;"R13,R2,R5,C1,C23";"0603";5;"0R";;;
11;"C16,C14";"0603";2;"10uF";;;
12;"A3,A4";"ViteDado4";2;"ViteDado";;;
13;"DZ1";"SOD 523(SC-79)";1;"PESD5Z3.3";;;
14;"E3_AUX1,E2_GNSS1,E1_MAIN1";"CONN_ANTENNA_SMD";3;"RECE.20279.001E.01";;;
15;"DZ5";"SOT363(SC70)";1;"ESDA6V1-5W6";;;
16;"U3";"UPIN27_OK";1;"UPIN27";;;
17;"U5";"SO8-EDP-2 MIO";1;"SC4216HSETRT";;;
18;"R8,R1,R16";"0603";3;"4K7";;;
19;"R3";"0603";1;"10R";;;
20;"DL1";"0805-led";1;"BLUE";;;
21;"U1";"SIM7600";1;"SIM7600E S2-107EP-Z304M";;;
22;"DL2";"0805-led";1;"GREEN";;;
23;"Q3,Q2";"SOT23";2;"BC817";;;
24;"DZ3,DZ6,DZ2,DZ4";"SOD 523(SC-79)";4;"PESD5Z5.0";;;
25;"C17,C21,C20,C18";"Case B-TC3528-1411";4;"100uF 10V";;;
26;"U4";"TSSOP14";1;"TXU0204QPWRQ1";;;
27;"R19";"0603";1;"100K";;;
28;"Q1";"SOT23";1;"BSS138P";;;
29;"L1";"0603";1;"7447860147G";;;
30;"R20";"0603";1;"15K";;;
31;"R6";"0603";1;"200K";;;
32;"U2";"SOT363(SC70)";1;"LSF0101GWH";;;
