"Id";"Riferimento";"Impronta";"Quantità";"Valore";"Produttore";
1;"A2,A1";"ViteDado4";2;"ViteDado";;;
2;"GND1,TP9,TP7,MCO1,TP2,+3V3D1,TP8,+3V3SDC1,TP6,TP4,+5V1,+12VD1,TP3,+3V3,+5VM1,TP5,TP1,+12V1";"TP";18;"TestPoint";;;
3;"C2,C66,C31,C63,C21,C64,C10,C51,C26,C53,C23,C29,C59";"0603";13;"1uF";;;
4;"J5";"_Altium_ARGO_ARGO PcbLib-Trad1.PcbLib_CONN_5P-P3_5";1;"5P";;;
5;"C45,C58,C7,C40,C46,C1,C50,C3,C42,C43,C24,C5,C41,C47,C19,C54,C27,C11,C4,C48,C18,C52,C28,C16,C6,C22,C17,C20,C65,C25,C49,C9,C36";"0603";33;"100nF";;;
6;"X1";"CRYST_ECS";1;"32.768KHz";;;
7;"FIL1,FIL4,FIL3,FIL5,FIL2";"0603";5;"BLM18BD102SN1D";;;
8;"R3,R23,R6,R34";"0603";4;"1K";;;
9;"JP3";"STRIP3PP254";1;"Strip 3p PTH";;;
10;"U7";"HVSON14 MIO";1;"TJA1443ATK";;;
11;"C44,C39,C37,C38";"0603";4;"220pF";;;
12;"R29";"0603";1;"200K";;;
13;"C32,C34,C12,C35,C33,C8";"0603";6;"4.7uF";;;
14;"R5,R30,R26,R8,R17,R21,R14,R12,R15,R16,R33";"0603";11;"10K";;;
15;"DZ3,DZ2";"QFN-3L-DFN1110-MIO";2;"ESDCAN03-2BM3Y";;;
16;"J7";"_Altium_Library_ARGO_ARGO PcbLib-Trad1.PcbLib_STRIP2F5X2P2_54_90";1;"Strip 5x2-DF 90 p.2.54";;;
17;"C57,C61,C62,C60";"0603";4;"10uF";;;
18;"R18";"0603";1;"810K";;;
19;"R28,R27";"MELFRESMMA0204";2;"MMA0204 60R4";;;
20;"U2";"UDFN6 - MIO";1;"STM6519APAAUB6F";;;
21;"FIL7";"WDFN8 - MIO";1;"EMI2121MTTAG";;;
22;"R1,C571";"0603";2;"NM";;;
23;"J6";"USB TYPE C 16PIN MIO";1;"USB TYPE C DX07S016JA3R1500";;;
24;"F1";"1206";1;"MF-NSMF150";;;
25;"Q2,Q3";"SOT23";2;"BSS138P";;;
26;"D1";"QMELFD";1;"S1M";;;
27;"R9,R24";"0603";2;"0R";;;
28;"U11,U14,U5,U13";"SOT23_5";4;"ST732M33R";;;
29;"R2,R4,R13";"0603";3;"100K";;;
30;"L4";"COIL COILCRAFT XAL4020-MIO";1;"XAL4020-2.2uH";;;
31;"U12";"TDFN 12L MIO";1;"MAX20077ATCA/VY+";;;
32;"D2";"MICROSMP";1;"MSS1P6-M3_89A";;;
33;"L3";"FILTRO DLW5B MIO";1;"DLW5BTM142TQ2L";;;
34;"DL1";"0805-led";1;"VERDE";;;
35;"JP2,JP4,JP1";"STRIP2P";3;"Strip 2p PTH";;;
36;"J1";"CONN MICROMATCH6PF MIO";1;"ENCODER+PB";;;
37;"R19";"0603";1;"110K";;;
38;"DZ4";"SMA";1;"SMAJ28A";;;
39;"R7";"0603";1;"100R";;;
40;"C56";"1206";1;"4.7uF 35V";;;
41;"J8";"VIAS0_8";1;"VIAS1";;;
42;"J2";"MOLEX8P1_25SMD";1;"Pico Blade 8p 53398-0871";;;
43;"U1";"LQFP100P05";1;"STM32L496VGT6";;;
44;"C14,C13";"0603";2;"15pF";;;
45;"DZ5,DZ1";"SOD 523(SC-79)";2;"PESD5Z3.3";;;
46;"L2";"ACT45B TDK-MIO";1;"ACT45B-110-2P-TL003";;;
47;"BATT1,BOOT1";"STRIP2P";2;"Strip 2p p.2.54";;;
48;"R11,R10";"0603";2;"4K7";;;
49;"A4";"_Altium_ARGO_ARGO PcbLib-Trad1.PcbLib_ViteDado4";1;"ViteDado";;;
50;"BZ1";"BUZZER TDK PS1240P02CT3";1;"F/UCW03 (2-5V)";;;
51;"C55";"0603";1;"1nF";;;
52;"A3";"_Altium_ARGO_ARGO PcbLib-Trad1.PcbLib_ASOLA 4";1;"ViteDado";;;
53;"DS1";"CONN FPC_FFC 31P P0.3 REVERSE-MIO";1;"REX160128AYPP3N00000";;;
54;"L1";"COIL LAIRD TYS4018";1;"TYS4018100M-10";;;
55;"U4";"SO8W";1;"AT25SF641B-SHB-B";;;
56;"R20";"0603";1;"2K2";;;
57;"U9";"SO16";1;"TRSF3232EIDR";;;
58;"R31,R32";"0603";2;"5K11";;;
59;"U10";"SOT363(SC70)";1;"LSF0101GM";;;
60;"FIL6";"EMIF06MSD02N16-MIO";1;"EMIF06-MSD02N16";;;
61;"C15";"CapELSUPERCAP-3D FT0H104ZF";1;"0.1F 5V5 FC0H104ZFTBR24";;;
62;"J9";"_Altium_Library_ARGO_ARGO Passive Component.IntLib_MOLEX2-V";1;"MOLEX MiniFit 2p";;;
63;"J3";"SD CARD MICRO HIROSE MIO";1;"101019966912A AMPHENOL";;;
64;"U8";"UPIN27_OK";1;"UPIN27";;;
65;"U6";"SOT23_6";1;"R1202N513B-TR-FE";;;
66;"U3";"SO8";1;"CAT24C64WI";;;
67;"C30";"0603";1;"22pF";;;
68;"Q1";"SOT23";1;"BC807";;;
69;"J7'1";"_Altium_Library_ARGO_ARGO PcbLib-Trad1.PcbLib_STRIP2F5X2P2_54REVERSE";1;"Strip 5x2-DF p.2.54";;;
70;"J4";"CONTATTI5";1;"5P BUS";;;
