"Id";"Riferimento";"Impronta";"Quantità";"Valore";"Produttore";
1;"C38";"0603";1;"2.2uF";;;
2;"R20,R6,R28,R24,R17,R26,R16,R9,R15,R3,R25";"0603";11;"10K";;;
3;"C12,C41,C30,C3,C2,C23,C4,C6,C54,C46,C22,C15,C17,C21,C7,C24,C5";"0603";17;"100nF";;;
4;"J3";"CONN_4P-P508";1;"4P 2907787";;;
5;"Q2";"TO252 (DPAK)";1;"SQD40131EL_GE3";;;
6;"C35";"0603";1;"100pF";;;
7;"BATT1,BOOT1,JP4,JP3";"STRIP2P";4;"Strip 2p PTH";;;
8;"J1";"MOLEX8P1_25SMD";1;"Pico Blade 8p 53398-0871";;;
9;"R27,R23";"0603";2;"*";;;
10;"X1";"CRYST_ECS";1;"32.768KHz";;;
11;"TP8,TP3,TP4,TP18,TP7,TP13,TP9,+5V1,MCO1,TP1,GND2,TP6,GND1,TP14,TP5,TP17,TP10,+3V3,TP2,+12V1,TP11";"TP";21;"TestPoint";;;
12;"C39";"0805";1;"330nF";;;
13;"J7";"VIAS0_8";1;"VIAS1";;;
14;"C48";"1206";1;"4.7uF 35V";;;
15;"C20,C25,C19,C18";"0603";4;"220pF";;;
16;"C29";"0603";1;"330nF";;;
17;"C55,C34,C53";"0603";3;"1uF";;;
18;"J5,J4";"CONN_4P-P508";2;"4P 2907774";;;
19;"FIL1";"0603";1;"BLM18BD102SN1D";;;
20;"DL1";"0805-led";1;"VERDE";;;
21;"C44";"Case C-TC6032-2412";1;"10uF 25V";;;
22;"C40,C33,C47";"0603";3;"1nF";;;
23;"L1";"ACT45B TDK-MIO";1;"ACT45B-110-2P-TL003";;;
24;"D3";"QMELFD";1;"SM4007";;;
25;"Q3";"POWERDI5060-8-MIO";1;"DMTH4011SPD-13";;;
26;"C16";"CapELSUPERCAP-3D FT0H104ZF";1;"0.1F 5V5";;;
27;"Q1";"TO252 (DPAK)";1;"DMTH43M8LK3Q-13";;;
28;"C1,C11,C8,C9,C10";"0603";5;"4.7uF";;;
29;"SW1";"DIPSWITCH8P-TRISTATE";1;"TDS08SGNNTR04";;;
30;"DZ3,DZ4";"SMA";2;"SMAJ28A";;;
31;"JP7";"STRIP2P";1;"Strip 2p trad.";;;
32;"U6";"TDFN 12L MIO";1;"MAX20077ATCA/VY+";;;
33;"C51,C50,C49";"0603";3;"10uF";;;
34;"R22";"0603";1;"95K3";;;
35;"R21";"0603";1;"301K 0.1%";;;
36;"U4";"HVSON14 MIO";1;"TJA1443ATK";;;
37;"R14";"0603";1;"294K";;;
38;"C42";"0603";1;"10nF";;;
39;"C37";"0603";1;"470nF";;;
40;"Q4";"TO252 (DPAK)";1;"DMPH6050SK3-13";;;
41;"R11,R12";"MELFRESMMA0204";2;"MMA0204 60R4";;;
42;"L2";"_Altium_ARGO_ARGO.PcbLib_FILTRO KEMET SBS9080";1;"SBS9080-509T";;;
43;"R13";"RES CURRSENS 4P WSK2512";1;"WSK2512xx";;;
44;"R19";"0603";1;"200R";;;
45;"R1,R31";"0603";2;"0R";;;
46;"R18";"RES CURRSENS 4P WSK2512";1;"WSK2512 10mOHM";;;
47;"DZ2,DZ1";"QFN-3L-DFN1110-MIO";2;"ESDCAN03-2BM3Y";;;
48;"JP5";"JUMP3S";1;"JUMP3S";;;
49;"U1";"LQFP64";1;"STM32L452RCT6";;;
50;"R7,R2,R8";"0603";3;"100K";;;
51;"L5";"FILTRO DLW5B MIO";1;"DLW5BTM142TQ2L";;;
52;"C28";"8X10_5";1;"100uF 50V";;;
53;"C52";"0805";1;"1uF";;;
54;"R30";"1206";1;"1K5 1/2W";;;
55;"C43,C31,C36,C26,C32";"0603";5;"10uF 35V";;;
56;"R4,R5";"0603";2;"4K7";;;
57;"F2";"1206";1;"MF-NSMF150";;;
58;"D2";"DSOD80";1;"LL4148";;;
59;"DZ5";"SOD 523(SC-79)";1;"PESD5Z3.3";;;
60;"U2";"SO8";1;"CAT24C64WI";;;
61;"C27";"0603";1;"2.2nF";;;
62;"U7";"SOT23_5";1;"ST732M33R";;;
63;"L6";"COIL COILCRAFT XAL4020-MIO";1;"XAL4020-222MEC";;;
64;"DZ6";"SOD-123";1;"BZT52C10";;;
65;"C45";"0603";1;"220nF";;;
66;"R10";"0603";1;"1K";;;
67;"U5";"UHF QFN38 MIO";1;"LTC4015EUHF#PBF";;;
68;"C13,C14";"0603";2;"15pF";;;
69;"L4";"FILTRO KEMET SBS9080-MIO";1;"SBS9080-509T";;;
70;"U3";"SO8";1;"AT25SF161SSHD";;;
71;"J2";"CONTATTI5";1;"5P BUS";;;
72;"R29";"0805";1;"1K";;;
73;"L3";"COIL BOURNS SRP1265A-MIO";1;"SRP1265A-100M";;;
74;"F1";"1210";1;"MMF-USML600/6-2";;;
