"Id";"Riferimento";"Impronta";"Quantità";"Valore";"Produttore";
1;"J10";"CONN_8P-P381";1;"8P";;;
2;"J4,J3";"CONN_3P-P381";2;"3P";;;
3;"U5";"TSSOP16";1;"NM PCA9616PW";;;
4;"C76,C38,C33,C30,C80,C34,C87,C85,C74,C66,C84";"0603";11;"1uF";;;
5;"C42,C75,C37,C44,C78,C4,C51,C31,C36,C6,C23,C65,C68,C26,C2,C21,C48,C58,C79,C7,C32,C22,C17,C53,C50,C39,C64,C52,C24,C47,C86,C27,C5,C43";"0603";34;"100nF";;;
6;"R42,R17,R10,R49,R18,R31,R19";"0603";7;"1K";;;
7;"R23,R78,R60,R14,R30,R13,R63,R58,R61,R40,R62,R68,R77,R65,R67,R66,R5,R4";"0603";18;"4K7";;;
8;"C15,C81,C12,C3";"0805";4;"100nF";;;
9;"DZ5,DZ18,DZ16";"SOD 523(SC-79)";3;"PESD5Z5.0";;;
10;"R54,R37,R72,R9,R27,R79,R47,R6,R3,R69";"0603";10;"10K";;;
11;"R2,R7,R8";"0603";3;"100K";;;
12;"C70,C73,C62,C57,C55,C72,C60,C71";"0603";8;"10nF";;;
13;"JP18,JP15,JP16,JP22,JP19,JP33,JP3,JP31,JP9,JP29,JP27,JP26,JP34,JP13,JP12,JP4,JP21,JP30,JP14,JP20,JP24,JP23,JP11,JP5,JP8,JP10,JP2,JP28,JP25,JP35,JP17";"STRIP2P";31;"Strip 2p PTH";;;
14;"A3,A6,A4,A2,A1,A5";"ViteDado4";6;"ViteDado";;;
15;"U6";"SO8";1;"PCA9517D (TCA9517D)";;;
16;"DZ14,DZ10,DZ12,DZ8";"SOD 523(SC-79)";4;"PESD5Z12,115";;;
17;"L2";"COIL COILCRAFT XAL4020-MIO";1;"XAL4020-222MEC";;;
18;"R24,R41,R33";"0603";3;"3K3";;;
19;"C9,C10,C1,C8,C11";"0603";5;"4.7uF";;;
20;"R11,R12";"MELFRESMMA0204";2;"MMA0204 60R4";;;
21;"U13,U12";"SO8";2;"OPA2735AID";;;
22;"JP1,JP6,JP7";"STRIP3PP254";3;"Strip 3p PTH";;;
23;"R51,R34,R44,R22";"0603";4;"33K2";;;
24;"J5";"CONN_5P-P381";1;"5P";;;
25;"DZ17,DZ7,DZ13,DZ11,DZ9,DZ6,DZ19,DZ15";"SOD 523(SC-79)";8;"PESD5Z3.3";;;
26;"L3";"FILTRO DLW5B";1;"DLW5BTM142TQ2L";;;
27;"R36,R46,R26,R53";"0603";4;"1M";;;
28;"R71";"0805";1;"1K";;;
29;"R20,R43,R32,R50";"0603";4;"330R";;;
30;"C54,C59,C61,C56";"0603";4;"470pF";;;
31;"C13,C14";"0603";2;"15pF";;;
32;"C69,C18,C25,C20,C19";"0603";5;"220pF";;;
33;"J1";"MOLEX8P1_25SMD";1;"Pico Blade 8p 53398-0871";;;
34;"OC1,OC2,OC3";"SO4-OPTO";3;"TLP292GB";;;
35;"U8,U9,U18,U15";"SOT26";4;"AP22653QW6-7";;;
36;"R15,R16,R57";"0603";3;"200K";;;
37;"R75,R74,R73";"0805";3;"1K5";;;
38;"FIL3,FIL7,FIL4,FIL5,FIL1,FIL6,FIL2";"0603";7;"BLM18BD102SN1D";;;
39;"R48,R28,R55,R38";"0603";4;"49R9";;;
40;"C90,C63,C88,C49,C89,C35,C77";"0603";7;"10uF";;;
41;"U10";"SO16";1;"TRSF3232EIDR";;;
42;"F1";"1206";1;"MF-NSMF150";;;
43;"+3V3S1,+5V1,+3V3,GND1,+12V1";"TP";5;"TestPoint";;;
44;"DZ2,DZ1";"QFN-3L-DFN1110";2;"ESDCAN03-2BM3Y";;;
45;"DL1";"0805-led";1;"VERDE";;;
46;"FIL12,FIL13,FIL14,FIL11";"NFM18PS";4;"NFM18PS105R0J3";;;
47;"J7,J9";"CONN_4P-P381";2;"4P";;;
48;"J6";"PICOCLASP6P_REV-MIO";1;"Pico-Clasp 6p 5015680607";;;
49;"U17,U20";"SOT23_5";2;"ST732M33R";;;
50;"C45,C40,C41,C46";"0603";4;"100pF";;;
51;"J8,J2";"CONN_6P-P381";2;"6P";;;
52;"U11";"VQFN24";1;"IIS328DQ";;;
53;"R59";"0603";1;"47R";;;
54;"X1";"CRYST_ECS";1;"32.768KHz";;;
55;"SW1";"TASTO SMD 6X6";1;"B3F xx";;;
56;"C29,R76,C28";"0603";3;"NM";;;
57;"R29,R39,R21";"0805";3;"2K7";;;
58;"C67";"0603";1;"47nF";;;
